id,num_sold
136950,44.18
136951,41.96
136952,5.89
136953,41.03
136954,35.32
136955,66.29
136956,69.27
136957,10.25
136958,61.34
136959,49.81
136960,254.82
136961,251.7
136962,38.23
136963,228.21
136964,198.39
136965,224.63
136966,238.52
136967,33.68
136968,226.73
136969,191.55
136970,364.08
136971,352.86
136972,53.66
136973,317.86
136974,282.53
136975,1296.74
136976,1310.21
136977,193.73
136978,1190.16
136979,987.39
136980,131.81
136981,131.72
136982,19.27
136983,113.02
136984,101.23
136985,196.36
136986,201.24
136987,31.26
136988,160.9
136989,145.46
136990,711.18
136991,701.94
136992,113.51
136993,658.43
136994,549.49
136995,116.86
136996,114.35
136997,16.77
136998,105.66
136999,82.63
137000,173.82
137001,176.64
137002,25.78
137003,155.1
137004,135.34
137005,633.87
137006,633.88
137007,95.49
137008,596.9
137009,494.07
137010,127.74
137011,124.92
137012,19.26
137013,110.02
137014,93.1
137015,185.59
137016,183.23
137017,23.86
137018,171.49
137019,107.36
137020,709.76
137021,689.69
137022,101.24
137023,581.48
137024,479.7
137025,44.18
137026,41.96
137027,5.89
137028,41.03
137029,35.32
137030,66.29
137031,69.27
137032,10.25
137033,61.34
137034,49.81
137035,254.82
137036,251.7
137037,38.23
137038,228.21
137039,198.39
137040,224.63
137041,238.52
137042,33.68
137043,226.73
137044,191.55
137045,364.08
137046,352.86
137047,53.66
137048,317.86
137049,282.53
137050,1296.74
137051,1310.21
137052,193.73
137053,1190.16
137054,987.39
137055,131.81
137056,131.72
137057,19.27
137058,113.02
137059,101.23
137060,196.36
137061,201.24
137062,31.26
137063,160.9
137064,145.46
137065,711.18
137066,701.94
137067,113.51
137068,658.43
137069,549.49
137070,116.86
137071,114.35
137072,16.77
137073,105.66
137074,82.63
137075,173.82
137076,176.64
137077,25.78
137078,155.1
137079,135.34
137080,633.87
137081,633.88
137082,95.49
137083,596.9
137084,494.07
137085,127.74
137086,124.92
137087,19.26
137088,110.02
137089,93.1
137090,185.59
137091,183.23
137092,23.86
137093,171.49
137094,107.36
137095,709.76
137096,689.69
137097,101.24
137098,581.48
137099,479.7
137100,44.18
137101,41.96
137102,5.89
137103,41.03
137104,35.32
137105,66.29
137106,69.27
137107,10.25
137108,61.34
137109,49.81
137110,254.82
137111,251.7
137112,38.23
137113,228.21
137114,198.39
137115,224.63
137116,238.52
137117,33.68
137118,226.73
137119,191.55
137120,364.08
137121,352.86
137122,53.66
137123,317.86
137124,282.53
137125,1296.74
137126,1310.21
137127,193.73
137128,1190.16
137129,987.39
137130,131.81
137131,131.72
137132,19.27
137133,113.02
137134,101.23
137135,196.36
137136,201.24
137137,31.26
137138,160.9
137139,145.46
137140,711.18
137141,701.94
137142,113.51
137143,658.43
137144,549.49
137145,116.86
137146,114.35
137147,16.77
137148,105.66
137149,82.63
137150,173.82
137151,176.64
137152,25.78
137153,155.1
137154,135.34
137155,633.87
137156,633.88
137157,95.49
137158,596.9
137159,494.07
137160,127.74
137161,124.92
137162,19.26
